Witch House,Evangeline Walton,1945
The Doll and One Other,Algernon Blackwood,1946
West India Lights,Henry S. Whitehead,1946
Fearful Pleasures,A. E. Coppard,1946
Carnacki the Ghost-Finder,William Hope Hodgson,1947
Night's Black Agents,Fritz Leiber,1947
The Web of Easter Island,Donald Wandrei,1948
The Fourth Book of Jorkens,Lord Dunsany,1948
The Mask of Cthulhu,August Derleth,1958
Pleasant Dreams: Nightmares,Robert Bloch,1960
The Abominations of Yondo,Clark Ashton Smith,1960
Strayers from Sheol,H. Russell Wakefield,1961
Dreams and Fancies,H. P. Lovecraft,1962
"Dark Mind, Dark Heart",August Derleth,1962
The Trail of Cthulhu,August Derleth,1962
The Dunwich Horror and Others,H. P. Lovecraft,1963
The Horror from the Hills,Frank Belknap Long,1963
The Inhabitant of the Lake and Less Welcome Tenants,J. Ramsey Campbell,1964
Over the Edge,August Derleth,1964
At the Mountains of Madness and Other Novels,H. P. Lovecraft,1964
Tales of Science and Sorcery,Clark Ashton Smith,1964
Dagon and Other Macabre Tales,H. P. Lovecraft,1965
Deep Waters,William Hope Hodgson,1967
The Mind Parasites,Colin Wilson,1967
"Number Seven, Queer Street",Margery Lawrence,1969
Tales of the Cthulhu Mythos,H. P. Lovecraft and others,1969
The Horror in the Museum and Other Revisions,H. P. Lovecraft,1970
Dark Things,August Derleth,1971
The Caller of the Black,Brian Lumley,1971
Beneath the Moors,Brian Lumley,1974
Collected Ghost Stories,Mary E. Wilkins Freeman,1974
The House of the Worm,Gary Myers,1975
Xélucha and Others,M. P. Shiel,1975
The Height of the Scream,Ramsey Campbell,1976
The Horror at Oakdeene and Others,Brian Lumley,1977
Prince Zaleski and Cummings King Monk,M. P. Shiel,1977
"And Afterward, the Dark",Basil Copper,1977
In Mayan Splendor,Frank Belknap Long,1977
Half in Shadow,Mary Elizabeth Counselman,1978
In the Mist and Other Uncanny Encounters,Elizabeth Walter,1979
New Tales of the Cthulhu Mythos,Ramsey Campbell (Ed.),1980
Tales of the Quintana Roo,James Tiptree Jr.,1986
Dreams of Dark and Light: The Great Short Fiction of Tanith Lee,Tanith Lee,1986
The Jaguar Hunter,Lucius Shepard,1987
A Rendezvous in Averoigne,Clark Ashton Smith,1988
Tales of the Cthulhu Mythos,H. P. Lovecraft and others,1990
Cthulhu 2000,Jim Turner,1995
Sixty Years of Arkham House,S.T. Joshi,1999
